id,actionId,campo,valorAnterior,valorNovo,motivoAlteracao,alteradoPor,solicitacaoAjusteId,createdAt
420001,900316,Descrição,"- Qual a sugestão do que se deve fazer: Desenvolver conhecimentos sobre processos, licitações e uso de recursos públicos. - Por que fazer: Para garantir conformidade, segurança institucional e qualidade nas entregas. - Como se deve fazer: Participar de treinamentos e estudar normas aplicáveis. - Onde se pode fazer (quais as sugestões): Cursos institucionais e formações internas. - Como comprovar que fez: Certificado e aplicação prática registrada em processos.","Descrição Detalhada:
O que fazer: Desenvolver conhecimentos sobre processos administrativos, licitações e uso de recursos públicos, ampliando a compreensão dos fluxos, normas e responsabilidades relacionadas à atuação em políticas públicas e desenvolvimento territorial. Por que fazer: Para garantir conformidade legal, segurança institucional e qualidade nas entregas, fortalecendo a atuação técnica e reduzindo riscos na execução de ações e projetos vinculados às políticas públicas. Como fazer: Participar de treinamentos, capacitações técnicas e estudos dirigidos sobre legislação, normas aplicáveis, processos administrativos e boas práticas relacionadas à gestão pública, com foco na aplicação prática dos conhecimentos no contexto institucional. Onde fazer: Cursos institucionais, formações internas, programas de capacitação corporativa e treinamentos promovidos por instituições públicas ou parceiras reconhecidas. Como comprovar: Apresentação de certificados de conclusão dos treinamentos realizados e registros de aplicação prática dos conhecimentos adquiridos nos processos, atividades ou projetos desenvolvidos.",,1,,2026-02-04 13:22:19
420002,900316,Descrição,"Descrição Detalhada:
O que fazer: Desenvolver conhecimentos sobre processos administrativos, licitações e uso de recursos públicos, ampliando a compreensão dos fluxos, normas e responsabilidades relacionadas à atuação em políticas públicas e desenvolvimento territorial. Por que fazer: Para garantir conformidade legal, segurança institucional e qualidade nas entregas, fortalecendo a atuação técnica e reduzindo riscos na execução de ações e projetos vinculados às políticas públicas. Como fazer: Participar de treinamentos, capacitações técnicas e estudos dirigidos sobre legislação, normas aplicáveis, processos administrativos e boas práticas relacionadas à gestão pública, com foco na aplicação prática dos conhecimentos no contexto institucional. Onde fazer: Cursos institucionais, formações internas, programas de capacitação corporativa e treinamentos promovidos por instituições públicas ou parceiras reconhecidas. Como comprovar: Apresentação de certificados de conclusão dos treinamentos realizados e registros de aplicação prática dos conhecimentos adquiridos nos processos, atividades ou projetos desenvolvidos.","Descrição Detalhada:
O que fazer: Desenvolver conhecimentos sobre processos administrativos, licitações e uso de recursos públicos, ampliando a compreensão dos fluxos, normas e responsabilidades relacionadas à atuação em políticas públicas e desenvolvimento territorial. Por que fazer: Para garantir conformidade legal, segurança institucional e qualidade nas entregas, fortalecendo a atuação técnica e reduzindo riscos na execução de ações e projetos vinculados às políticas públicas. 


Como fazer: 
Participar de treinamentos, capacitações técnicas e estudos dirigidos sobre legislação, normas aplicáveis, processos administrativos e boas práticas relacionadas à gestão pública, com foco na aplicação prática dos conhecimentos no contexto institucional. 

Onde fazer: 
Cursos institucionais, formações internas, programas de capacitação corporativa e treinamentos promovidos por instituições públicas ou parceiras reconhecidas. 

Como comprovar: 
Apresentação de certificados de conclusão dos treinamentos realizados e registros de aplicação prática dos conhecimentos adquiridos nos processos, atividades ou projetos desenvolvidos.",,1,,2026-02-04 13:25:23
450001,990001,Descrição,"𝙊 𝙦𝙪𝙚 𝙛𝙖𝙯𝙚𝙧: 
𝘼𝙥𝙡𝙞𝙘𝙖𝙧 𝙤 𝙢𝙚́𝙩𝙤𝙙𝙤 𝙎𝘾𝙌𝘼 (𝙎𝙞𝙩𝙪𝙖𝙘̧𝙖̃𝙤, 𝘾𝙤𝙢𝙥𝙡𝙞𝙘𝙖𝙘̧𝙖̃𝙤, 𝙌𝙪𝙚𝙨𝙩𝙖̃𝙤 𝙚 𝙍𝙚𝙨𝙥𝙤𝙨𝙩𝙖) 𝙥𝙖𝙧𝙖 𝙚𝙨𝙩𝙧𝙪𝙩𝙪𝙧𝙖𝙧 𝙖𝙥𝙧𝙚𝙨𝙚𝙣𝙩𝙖𝙘̧𝙤̃𝙚𝙨 𝙚 𝙘𝙤𝙢𝙪𝙣𝙞𝙘𝙖𝙘̧𝙤̃𝙚𝙨 𝙚𝙢 𝙧𝙚𝙪𝙣𝙞𝙤̃𝙚𝙨 𝙩𝙚́𝙘𝙣𝙞𝙘𝙖𝙨 𝙚 𝙞𝙣𝙨𝙩𝙞𝙩𝙪𝙘𝙞𝙤𝙣𝙖𝙞𝙨, 𝙘𝙤𝙢 𝙛𝙤𝙘𝙤 𝙚𝙢 𝙘𝙡𝙖𝙧𝙚𝙯𝙖, 𝙤𝙗𝙟𝙚𝙩𝙞𝙫𝙞𝙙𝙖𝙙𝙚 𝙚 𝙞𝙣𝙛𝙡𝙪𝙚̂𝙣𝙘𝙞𝙖. 
𝘾𝙤𝙢𝙤 𝙛𝙖𝙯𝙚𝙧: 
𝙀𝙨𝙩𝙪𝙙𝙖𝙧 𝙤 𝙢𝙚́𝙩𝙤𝙙𝙤 𝙎𝘾𝙌𝘼 𝙥𝙤𝙧 𝙢𝙚𝙞𝙤 𝙙𝙤 𝙖𝙧𝙩𝙞𝙜𝙤 “𝙃𝙤𝙬 𝙩𝙤 𝙏𝙚𝙡𝙡 𝙖 𝙎𝙩𝙤𝙧𝙮 𝙇𝙞𝙠𝙚 𝙈𝙘𝙆𝙞𝙣𝙨𝙚𝙮”, 𝙙𝙚 𝘿𝙤𝙢 𝘽𝙖𝙡𝙙𝙬𝙞𝙣 (𝙃𝙖𝙧𝙫𝙖𝙧𝙙 𝘽𝙪𝙨𝙞𝙣𝙚𝙨𝙨 𝙍𝙚𝙫𝙞𝙚𝙬), 𝙚 𝙙𝙤 𝙫𝙞́𝙙𝙚𝙤 “𝙎𝘾𝙌𝘼 𝙁𝙧𝙖𝙢𝙚𝙬𝙤𝙧𝙠”, 𝙙𝙤 𝙘𝙖𝙣𝙖𝙡 𝘾𝙤𝙣𝙨𝙪𝙡𝙩𝙞𝙣𝙜 𝙎𝙠𝙞𝙡𝙡𝙨 𝙣𝙤 𝙔𝙤𝙪𝙏𝙪𝙗𝙚; 𝙨𝙚𝙡𝙚𝙘𝙞𝙤𝙣𝙖𝙧 𝙪𝙢 𝙩𝙚𝙢𝙖 𝙧𝙚𝙘𝙤𝙧𝙧𝙚𝙣𝙩𝙚 𝙙𝙖 𝙧𝙤𝙩𝙞𝙣𝙖 𝙥𝙧𝙤𝙛𝙞𝙨𝙨𝙞𝙤𝙣𝙖𝙡, 𝙘𝙤𝙢𝙤 𝙥𝙧𝙤𝙟𝙚𝙩𝙤𝙨 𝙚𝙢 𝙖𝙣𝙙𝙖𝙢𝙚𝙣𝙩𝙤, 𝙥𝙧𝙤𝙘𝙚𝙨𝙨𝙤𝙨 𝙞𝙣𝙩𝙚𝙧𝙣𝙤𝙨 𝙤𝙪 𝙙𝙚𝙨𝙖𝙛𝙞𝙤𝙨 𝙩𝙚́𝙘𝙣𝙞𝙘𝙤𝙨; 𝙚𝙡𝙖𝙗𝙤𝙧𝙖𝙧 𝙪𝙢 𝙙𝙤𝙘𝙪𝙢𝙚𝙣𝙩𝙤 𝙗𝙧𝙚𝙫𝙚, 𝙘𝙤𝙢 𝙣𝙤 𝙢𝙖́𝙭𝙞𝙢𝙤 𝙪𝙢𝙖 𝙥𝙖́𝙜𝙞𝙣𝙖, 𝙚𝙨𝙩𝙧𝙪𝙩𝙪𝙧𝙖𝙙𝙤 𝙨𝙚𝙜𝙪𝙣𝙙𝙤 𝙤 𝙢𝙤𝙙𝙚𝙡𝙤 𝙎𝘾𝙌𝘼, 𝙘𝙤𝙣𝙩𝙚𝙢𝙥𝙡𝙖𝙣𝙙𝙤 𝙘𝙤𝙣𝙩𝙚𝙭𝙩𝙤, 𝙥𝙧𝙤𝙗𝙡𝙚𝙢𝙖, 𝙦𝙪𝙚𝙨𝙩𝙖̃𝙤 𝙘𝙚𝙣𝙩𝙧𝙖𝙡 𝙚 𝙥𝙧𝙤𝙥𝙤𝙨𝙩𝙖 𝙙𝙚 𝙧𝙚𝙨𝙥𝙤𝙨𝙩𝙖 𝙤𝙪 𝙙𝙚𝙘𝙞𝙨𝙖̃𝙤; 𝙖𝙥𝙧𝙚𝙨𝙚𝙣𝙩𝙖𝙧 𝙚𝙨𝙨𝙚 𝙢𝙖𝙩𝙚𝙧𝙞𝙖𝙡 𝙚𝙢 𝙧𝙚𝙪𝙣𝙞𝙖̃𝙤 𝙘𝙤𝙢 𝙨𝙩𝙖𝙠𝙚𝙝𝙤𝙡𝙙𝙚𝙧𝙨 𝙞𝙣𝙩𝙚𝙧𝙣𝙤𝙨 𝙚 𝙘𝙤𝙡𝙚𝙩𝙖𝙧 𝙛𝙚𝙚𝙙𝙗𝙖𝙘𝙠 𝙞𝙣𝙛𝙤𝙧𝙢𝙖𝙡 𝙨𝙤𝙗𝙧𝙚 𝙖 𝙘𝙡𝙖𝙧𝙚𝙯𝙖, 𝙤𝙧𝙜𝙖𝙣𝙞𝙯𝙖𝙘̧𝙖̃𝙤 𝙚 𝙞𝙢𝙥𝙖𝙘𝙩𝙤 𝙙𝙖 𝙘𝙤𝙢𝙪𝙣𝙞𝙘𝙖𝙘̧𝙖̃𝙤. 
𝙊𝙣𝙙𝙚 𝙛𝙖𝙯𝙚𝙧: 
𝙀𝙢 𝙧𝙚𝙪𝙣𝙞𝙤̃𝙚𝙨 𝙞𝙣𝙨𝙩𝙞𝙩𝙪𝙘𝙞𝙤𝙣𝙖𝙞𝙨, 𝙖𝙥𝙧𝙚𝙨𝙚𝙣𝙩𝙖𝙘̧𝙤̃𝙚𝙨 𝙩𝙚́𝙘𝙣𝙞𝙘𝙖𝙨, 𝙖𝙡𝙞𝙣𝙝𝙖𝙢𝙚𝙣𝙩𝙤𝙨 𝙘𝙤𝙢 𝙥𝙖𝙧𝙚𝙨, 𝙜𝙚𝙨𝙩𝙤𝙧𝙚𝙨 𝙚 𝙙𝙚𝙢𝙖𝙞𝙨 𝙨𝙩𝙖𝙠𝙚𝙝𝙤𝙡𝙙𝙚𝙧𝙨 𝙞𝙣𝙩𝙚𝙧𝙣𝙤𝙨, 𝙘𝙤𝙣𝙛𝙤𝙧𝙢𝙚 𝙖 𝙧𝙤𝙩𝙞𝙣𝙖 𝙙𝙚 𝙩𝙧𝙖𝙗𝙖𝙡𝙝𝙤. 
𝘾𝙤𝙢𝙤 𝙘𝙤𝙢𝙥𝙧𝙤𝙫𝙖𝙧: 
𝙀𝙣𝙩𝙧𝙚𝙜𝙖 𝙙𝙤 𝙙𝙤𝙘𝙪𝙢𝙚𝙣𝙩𝙤 𝙎𝘾𝙌𝘼 𝙚𝙡𝙖𝙗𝙤𝙧𝙖𝙙𝙤, 𝙧𝙚𝙜𝙞𝙨𝙩𝙧𝙤 𝙤𝙪 𝙥𝙧𝙞𝙣𝙩 𝙙𝙤 𝙢𝙖𝙩𝙚𝙧𝙞𝙖𝙡 𝙚𝙨𝙩𝙪𝙙𝙖𝙙𝙤 (𝙖𝙧𝙩𝙞𝙜𝙤 𝙤𝙪 𝙫𝙞́𝙙𝙚𝙤) 𝙚 𝙧𝙚𝙡𝙖𝙩𝙤 𝙗𝙧𝙚𝙫𝙚 𝙙𝙖 𝙖𝙥𝙡𝙞𝙘𝙖𝙘̧𝙖̃𝙤 𝙥𝙧𝙖́𝙩𝙞𝙘𝙖 𝙚𝙢 𝙧𝙚𝙪𝙣𝙞𝙖̃𝙤 𝙧𝙚𝙖𝙡, 𝙞𝙣𝙘𝙡𝙪𝙞𝙣𝙙𝙤 𝙥𝙚𝙧𝙘𝙚𝙥𝙘̧𝙤̃𝙚𝙨 𝙚 𝙖𝙥𝙧𝙚𝙣𝙙𝙞𝙯𝙖𝙙𝙤𝙨 𝙤𝙗𝙩𝙞𝙙𝙤𝙨.","O que fazer:
Aplicar o método SCQA (Situação, Complicação, Questão e Resposta) para estruturar apresentações e comunicações em reuniões técnicas e institucionais, com foco em clareza, objetividade e influência.

Como fazer:
Estudar o método SCQA por meio do artigo “How to Tell a Story Like McKinsey”, de Dom Baldwin (Harvard Business Review), e do vídeo “SCQA Framework”, do canal Consulting Skills no YouTube; selecionar um tema recorrente da rotina profissional, como projetos em andamento, processos internos ou desafios técnicos; elaborar um documento breve, com no máximo uma página, estruturado segundo o modelo SCQA, contemplando contexto, problema, questão central e proposta de resposta ou decisão; apresentar esse material em reunião com stakeholders internos e coletar feedback informal sobre a clareza, organização e impacto da comunicação.

Onde fazer:
Em reuniões institucionais, apresentações técnicas e alinhamentos com pares, gestores e demais stakeholders internos, conforme a rotina de trabalho.

Como comprovar:
Entrega do documento SCQA elaborado, registro ou print do material estudado (artigo ou vídeo) e relato breve da aplicação prática em reunião real, incluindo percepções e aprendizados obtidos.",,1440001,,2026-02-04 15:19:02
450002,900673,Descrição,"Sugestão de desenvolvimento da Competência: Participar do evento CIB (Comunicação Interna Brasil) – Comunicação Estratégica Institucional – Desenvolver (Treinamento e estudo).Objetivo: ampliar visão sobre tendências e boas práticas em comunicação organizacional.Justificativa: comunicação interna é estratégica para cultura, engajamento e produtividade; o evento proporciona acesso a palestras, cases, workshops e networking qualificado.Como realizar: realizar inscrição no evento; participar das sessões; anotar ideias e ferramentas aplicáveis; elaborar relatório com principais aprendizados e ao menos 3 propostas práticas para o Sebrae.Como comprovar: comprovante/certificado de participação + relatório com aprendizados e propostas."," Detalhes da ação (Descrição da Ação)

O que fazer: Participar do evento CIB (Comunicação Interna Brasil) – Comunicação Estratégica Institucional, com foco no desenvolvimento da comunicação oral aplicada ao contexto organizacional. 
Como fazer: Realizar a inscrição no evento, participar das palestras, cases e workshops oferecidos, registrar ideias, conceitos e ferramentas apresentados, e ao final elaborar um relatório contendo os principais aprendizados e pelo menos três propostas práticas de aplicação no contexto do Sebrae. 

Onde fazer: Evento CIB – Comunicação Interna Brasil, conforme programação oficial do evento. 

Como comprovar: Apresentação do comprovante ou certificado de participação no evento, acompanhado de relatório com os aprendizados adquiridos e as propostas práticas elaboradas.",,1,,2026-02-04 15:22:57
450003,900672,Título,Comunicação Oral,Análise de Resultados de Campanhas de Comunicação,,1,,2026-02-04 15:27:35
450004,900672,Descrição,"Sugestão de desenvolvimento da Competência: Criar relatório de resultados de campanha com análise de engajamento e indicadores (Comunicação) – Desenvolver (Treinamento e estudo) – Curto Prazo.Objetivo: ampliar o uso de indicadores, métricas e ferramentas para avaliar a efetividade das ações de comunicação interna.Justificativa: fortalece a mensuração de resultados e desenvolve visão crítica para decisões mais estratégicas.Ação 01: escolher uma campanha recente; levantar dados de alcance, abertura, cliques e feedbacks; construir relatório com análise e sugestões de melhoria.Material de apoio: modelo de relatório analítico – UC Sebrae; artigo “Indicadores de Comunicação Interna” – Aberje.Como comprovar: relatório apresentado à liderança com validação.Ação 02 (opcional): curso “Avaliação de Resultados em Comunicação” – EV.G/Enap; aplicar aprendizados em uma campanha real.Como comprovar: certificado + exemplo real validado pela liderança.","Detalhes da ação (Descrição da Ação)

O que fazer: Elaborar relatório de resultados de uma campanha de comunicação interna, com foco na análise de engajamento, indicadores e efetividade das ações realizadas. 

Como fazer: Selecionar uma campanha recente, levantar dados de alcance, abertura, cliques e feedbacks recebidos, organizar as informações em formato analítico, construir um relatório com análise crítica dos resultados e sugestões de melhoria, e apresentar o material à liderança para validação; opcionalmente, realizar o curso “Avaliação de Resultados em Comunicação” da EV.G/Enap e aplicar os aprendizados em uma campanha real. 

Onde fazer: Ambiente institucional do Sebrae, com apoio de modelo de relatório analítico da UC Sebrae e do artigo “Indicadores de Comunicação Interna” da Aberje, além da plataforma EV.G/Enap, quando aplicável. 

Como comprovar: Relatório de resultados apresentado à liderança com validação formal; quando realizado o curso opcional, certificado de conclusão acompanhado de exemplo prático validado pela liderança.",,1,,2026-02-04 15:27:35
480001,900625,Descrição,"Sugestão de desenvolvimento da Competência: Curso UC Sebrae “Experiência do Cliente – Customer Experience 2025” (Boas práticas de CX no contexto Sebrae).Por que fazer: Para conectar jornada, linguagem e métricas de experiência, aumentando engajamento e valor percebido nas ações do Sebrae.Como fazer: Acessar a Universidade Sebrae; buscar “Experiência do Cliente – Customer Experience 2025”; concluir o curso; registrar aprendizados aplicáveis à área e apontar 1 aplicação prática na rotina.Onde fazer: Universidade Sebrae (UC) e rotina do núcleo digital (aplicação).Como comprovar: Print de conclusão ou documento curto com aprendizados e aplicação prática proposta/realizada.","O que fazer: Realizar o curso “Experiência do Cliente – Customer Experience 2025”, oferecido pela Universidade Sebrae, com foco em boas práticas de CX aplicadas ao contexto institucional. 

Como fazer: Acessar a Universidade Sebrae, localizar o curso “Experiência do Cliente – Customer Experience 2025”, concluir todos os módulos propostos, registrar os principais aprendizados relacionados à jornada do cliente, linguagem e métricas de experiência, e identificar pelo menos uma aplicação prática desses aprendizados na rotina de trabalho da área. 

Onde fazer: Plataforma Universidade Sebrae (UC) e aplicação prática na rotina do núcleo digital. 

Como comprovar: Print ou comprovante de conclusão do curso e documento curto contendo os aprendizados registrados e a aplicação prática proposta ou realizada.",,1,,2026-02-04 17:06:01
480002,900624,Descrição,"Sugestão de desenvolvimento da Competência: Curso “Relações Interpessoais 2025” (Universidade Sebrae) (Fortalecer habilidades de Relacionamento Estratégico).Por que fazer: Para comunicar com mais estratégia, criar conexões de confiança e manter uma rede de relacionamento que apoie entregas e prioridades do núcleo digital.Como fazer: Acessar a Universidade Sebrae; localizar o curso “Relações Interpessoais 2025”; durante o curso, anotar 3 técnicas/atitudes; aplicar 1 técnica em uma interação real da semana e registrar o resultado.Onde fazer: Universidade Sebrae e ambiente de trabalho (interações reais).Como comprovar: Print de conclusão do curso ou relato curto (5 a 7 linhas) com técnica aplicada e resultado observado.","O que fazer: Realizar o curso “Relações Interpessoais 2025”, oferecido pela Universidade Sebrae, com foco no fortalecimento das habilidades de relacionamento estratégico e comunicação influente. 

Como fazer: Acessar a Universidade Sebrae, localizar o curso “Relações Interpessoais 2025”, concluir os conteúdos propostos, registrar ao longo do curso pelo menos três técnicas ou atitudes relacionadas à comunicação e ao relacionamento interpessoal, aplicar uma dessas técnicas em uma interação real da rotina de trabalho semanal e registrar o resultado observado. 

Onde fazer: Plataforma Universidade Sebrae e ambiente de trabalho, por meio de interações reais no contexto do núcleo digital. 

Como comprovar: Print ou comprovante de conclusão do curso ou relato curto, entre cinco e sete linhas, descrevendo a técnica aplicada e o resultado percebido.",,1,,2026-02-04 17:12:57
480003,900623,Descrição,"Sugestão de desenvolvimento da Competência: Analisar campanhas digitais de referência e criar um banco de inspirações visuais (Criar e aplicar estratégias inovadoras no marketing digital).Por que fazer: Para ampliar repertório e acelerar a criação de soluções criativas alinhadas aos objetivos do Sebrae, fortalecendo criatividade estratégica.Como fazer: Pesquisar campanhas premiadas/bem avaliadas (Ads of the World, Clube de Criação, Prêmio Lusófonos); selecionar 10 campanhas relevantes; organizar em pastas no Drive ou board no Trello por categorias; para cada campanha, escrever nota breve de adaptação ao contexto do Sebrae Tocantins.Onde fazer: Pesquisa online + organização no Google Drive/Trello.Como comprovar: Print da pasta/board com os materiais + breve descrição das anotações feitas para cada campanha.","O que fazer: Analisar campanhas digitais de referência e construir um banco de inspirações visuais voltado à criação e aplicação de estratégias inovadoras no marketing digital.

 Como fazer: Realizar pesquisa de campanhas premiadas ou bem avaliadas em plataformas e premiações como Ads of the World, Clube de Criação e Prêmios Lusófonos, selecionar pelo menos dez campanhas relevantes, organizar os materiais em pastas no Google Drive ou em um board no Trello, categorizando os conteúdos, e registrar para cada campanha uma nota breve com possibilidades de adaptação ao contexto do Sebrae Tocantins. 

Onde fazer: Pesquisa online e organização dos materiais no Google Drive ou Trello. 

Como comprovar: Print da pasta ou do board criado, contendo as campanhas selecionadas, acompanhado de breve descrição das anotações realizadas para cada referência.",,1,,2026-02-04 17:16:50
480004,900602,Descrição,"Sugestão de desenvolvimento da Competência: Curso “Tomada de Decisão Baseada em Dados” (Tomada de Decisão Estratégica).Por que fazer: Para reduzir riscos e aumentar confiança em decisões complexas, utilizando critérios objetivos e análise de cenários.Como fazer: Acessar curso gratuito sobre decisão baseada em dados (Coursera ou EV.G); focar nos módulos de análise de cenários; aplicar o aprendizado em uma escolha real do trabalho (ex.: definição de estratégia).Onde fazer: Plataforma online (Coursera/EV.G) e aplicação em situações reais do cotidiano profissional.Como comprovar: Certificado do curso + relato da aplicação prática.","O que fazer: Realizar o curso “Tomada de Decisão Baseada em Dados”, com foco no fortalecimento da tomada de decisão estratégica e fundamentada em critérios objetivos. 

Como fazer: Acessar um curso gratuito sobre tomada de decisão baseada em dados em plataformas como Coursera ou EV.G, priorizar os módulos relacionados à análise de cenários e avaliação de alternativas, e aplicar os conhecimentos adquiridos em uma decisão real do contexto de trabalho, como a definição de uma estratégia ou escolha relevante da rotina profissional. 

Onde fazer: Plataforma online Coursera ou EV.G, com aplicação prática em situações reais do cotidiano profissional. 

Como comprovar: Certificado de conclusão do curso, acompanhado de relato sobre a aplicação prática do aprendizado em uma decisão realizada.",,1,,2026-02-04 17:20:17
